group_id,species_group_id,pdb_id,crystal_id,protein,species_name,species_major_class,species_minor_class,species_role_class,is_ion_like,is_anion,is_cation,is_metal_cation,is_monovalent_cation,is_divalent_cation,is_screen_relevant_anion,is_buffer_like,is_solvent_like,is_polymeric_precipitant,is_polyol_like,is_ionic_liquid_or_des,condition_segment_count,has_numeric_concentration,concentration_value_count,concentration_numeric_min,concentration_numeric_max,concentration_numeric_mean,concentration_unit_primary,concentration_unit_family,molar_equivalent_min,molar_equivalent_max,molar_equivalent_mean,concentration_bin,method_family,p_h,temp_k,observed_in_structure,observed_in_structure_label,explicit_entity_present_label,retained_multicopy_label,explicit_entity_count,explicit_compound_count,solvent_content_percent,solvent_content_regime,matthews_density,resolution_high_a,resolution_regime,space_group_hm
lysozyme|6H0L|1,lysozyme|6H0L|1|sodium,6H0L,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,20.0,20.0,20.0,%,percent,,,,nonmolar_numeric,batch,3.0,293.0,no,0,0,0,0,0,42.99,intermediate,2.16,1.9,medium,P 43 21 2
lysozyme|6H79|1,lysozyme|6H79|1|sodium,6H79,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.0,M,molar,1.0,1.0,1.0,high,,,,yes,1,1,0,1,0,,,,,,
lysozyme|6HT2|1,lysozyme|6HT2|1|sodium,6HT2,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1.5,1.5,1.5,M,molar,1.5,1.5,1.5,very_high,vapor diffusion - hanging drop,,293.0,no,0,0,0,0,0,40.5,intermediate,2.07,2.6,lower,P 1 21 1
lysozyme|6HU5|1,lysozyme|6HU5|1|sodium,6HU5,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1.5,1.5,1.5,M,molar,1.5,1.5,1.5,very_high,unspecified/other,,,no,0,0,0,0,0,40.5,intermediate,2.07,2.8,lower,P 1 21 1
lysozyme|6HY8|1,lysozyme|6HY8|1|sodium,6HY8,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2.6,2.6,2.6,M,molar,2.6,2.6,2.6,very_high,,,,yes,1,1,0,1,0,,,,,,
lysozyme|6IG6|1,lysozyme|6IG6|1|sodium,6IG6,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,,293.5,yes,1,1,0,1,0,41.74,intermediate,2.11,1.7,high,P 43 21 2
lysozyme|6IRJ|1,lysozyme|6IRJ|1|sodium,6IRJ,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,,,,missing,missing,,,,missing,small tubes,4.5,293.5,yes,1,1,0,1,0,38.96,compact,2.02,1.65,high,P 43 21 2
lysozyme|6JB2|1,lysozyme|6JB2|1|sodium,6JB2,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,8.0,293.15,no,0,0,0,0,0,43.21,intermediate,2.17,1.5,high,P 1 21 1
lysozyme|6JB5|1,lysozyme|6JB5|1|sodium,6JB5,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,8.0,293.15,no,0,0,0,0,0,43.14,intermediate,2.16,1.55,high,P 1 21 1
lysozyme|6JB8|1,lysozyme|6JB8|1|sodium,6JB8,1,lysozyme,sodium,ion,cation,cation,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,8.0,293.15,yes,1,1,0,1,0,39.1,compact,2.02,1.65,high,P 1 21 1
