protein,species_name,species_class,mean_P_oof,median_P_oof,n_condition,n_modeled,raw_structure_observed_frequency,low_support_flag,rank_within_protein
proteinase k,chloride,Anions,0.13984609396896916,0.15145538062724384,29,1,0.034482758620689655,False,9
proteinase k,citrate,Anions,0.1391024436840097,0.14807065855334212,8,0,0.0,True,10
proteinase k,acetate,Anions,0.13466743606515255,0.09101012827075247,12,0,0.0,False,11
proteinase k,sodium,Metal/cations,0.11875978407406462,0.11290389700871102,68,3,0.04411764705882353,False,12
proteinase k,tartrate,Anions,0.09624401285037969,0.10254361364774925,16,0,0.0,False,13
proteinase k,magnesium,Metal/cations,0.06399845581353686,0.06399845581353686,1,0,0.0,True,14
proteinase k,ammonium,Metal/cations,0.045098960910413995,0.05125450834447332,110,0,0.0,False,15
proteinase k,cacodylate,Organic ligands,0.03824136746614906,0.03691550581303507,10,0,0.0,False,16
proteinase k,bis-tris,Organic ligands,0.026149975939285957,0.024260390362652418,3,0,0.0,True,17
proteinase k,hepes,Organic ligands,0.023476191769545216,0.022140852217831873,22,0,0.0,False,18
proteinase k,mes,Organic ligands,0.022090148553450553,0.023507210212603408,20,0,0.0,False,19
proteinase k,tris,Organic ligands,0.01893640263537374,0.017352103783063642,109,0,0.0,False,20
ribonuclease,iodide,Anions,0.9837054917087608,0.9856150945356158,9,9,1.0,True,1
ribonuclease,manganese,Metal/cations,0.9610598238874194,0.9694798235604183,6,6,1.0,True,2
ribonuclease,cadmium,Metal/cations,0.861939031813416,0.8095948923405498,3,2,0.6666666666666666,True,3
ribonuclease,sulfate,Anions,0.8596032600748019,0.897812153812732,284,171,0.602112676056338,False,4
ribonuclease,glycerol,Small neutral additives,0.8592708980057958,0.9134271227379874,104,64,0.6153846153846154,False,5
ribonuclease,zinc,Metal/cations,0.8498366199275433,0.9763371823060547,6,5,0.8333333333333334,True,6
ribonuclease,magnesium,Metal/cations,0.7932527063834921,0.7919108234575275,177,82,0.4632768361581921,False,7
ribonuclease,calcium,Metal/cations,0.7644194485821059,0.7862298079830522,101,42,0.4158415841584158,False,8
ribonuclease,ethylene glycol,Small neutral additives,0.7578921737700948,0.7517399645620543,18,8,0.4444444444444444,False,9
ribonuclease,phosphate,Anions,0.7141099219877801,0.7235187665959109,51,17,0.3333333333333333,False,10
ribonuclease,copper,Metal/cations,0.6467698199960956,0.6467698199960956,2,1,0.5,True,11
ribonuclease,chloride,Anions,0.6082456243392946,0.6417863611161971,124,36,0.2903225806451613,False,12
ribonuclease,2-propanol,Small neutral additives,0.5792913033598863,0.5648702783771513,46,12,0.2608695652173913,False,13
ribonuclease,formate,Anions,0.49762417174603213,0.5343220560034818,14,3,0.21428571428571427,False,14
ribonuclease,potassium,Metal/cations,0.46181488349110583,0.4270073419403764,42,9,0.21428571428571427,False,15
ribonuclease,citrate,Anions,0.3256522706732032,0.2810475718952769,196,16,0.08163265306122448,False,16
ribonuclease,acetate,Anions,0.2897227469185756,0.2603578005171659,175,16,0.09142857142857143,False,17
ribonuclease,cesium,Metal/cations,0.2506329037232668,0.24627579925417742,12,1,0.08333333333333333,False,18
ribonuclease,lithium,Metal/cations,0.23796785615428143,0.25641684303249135,22,1,0.045454545454545456,False,19
ribonuclease,sodium,Metal/cations,0.16019874770749218,0.11283052276177061,416,18,0.04326923076923077,False,20
ribonuclease,nitrate,Anions,0.14868104329081205,0.11319116531715993,4,0,0.0,True,21
ribonuclease,mpd,Small neutral additives,0.1485952933215951,0.1367101028211593,55,2,0.03636363636363636,False,22
ribonuclease,methanol,Small neutral additives,0.09776760867136546,0.10058488444379908,3,0,0.0,True,23
ribonuclease,dioxane,Small neutral additives,0.09354520542372556,0.11441527789435496,5,0,0.0,True,24
ribonuclease,ethanol,Small neutral additives,0.07950522403655336,0.04238583629769266,6,0,0.0,True,25
ribonuclease,tartrate,Anions,0.060277235198733674,0.05126690748396729,12,0,0.0,False,26
ribonuclease,ammonium,Metal/cations,0.003710705422020694,0.002304926781223165,344,0,0.0,False,27
ribonuclease,bis-tris,Organic ligands,0.0031521194596462617,0.0019367636699695705,38,0,0.0,False,28
ribonuclease,cacodylate,Organic ligands,0.0023683721909065073,0.0018049188203112217,41,0,0.0,False,29
ribonuclease,mes,Organic ligands,0.0017256527981713173,0.0016294956498844964,91,0,0.0,False,30
ribonuclease,hepes,Organic ligands,0.001589324081034865,0.001032347313789709,91,0,0.0,False,31
ribonuclease,imidazole,Organic ligands,0.0014058681095494015,0.0007676116958676448,65,0,0.0,False,32
ribonuclease,tris,Organic ligands,0.0012366564630990216,0.0005830295616058153,151,0,0.0,False,33
ribonuclease,peg,PEG/polymer,0.001120863282361321,0.0007534115698763375,486,0,0.0,False,34
ribonuclease,dtt,Organic ligands,0.0009929039393466853,0.0006763521066717249,13,0,0.0,False,35
trypsin,calcium,Metal/cations,0.9781560222897018,0.9840790609243729,126,122,0.9682539682539683,False,1
trypsin,glycerol,Small neutral additives,0.8858489648576537,0.9046179815999205,20,15,0.75,False,2
trypsin,sulfate,Anions,0.8467874867112181,0.8467696467322081,316,192,0.6075949367088608,False,3
trypsin,ethylene glycol,Small neutral additives,0.6525355257621934,0.6983538196176062,16,7,0.4375,False,4
trypsin,zinc,Metal/cations,0.6391953840095719,0.588457349352439,4,3,0.75,True,5
trypsin,mpd,Small neutral additives,0.6159564627950079,0.7108675048630303,12,4,0.3333333333333333,False,6
trypsin,formate,Anions,0.5443799885268127,0.5974789530548024,6,2,0.3333333333333333,True,7
trypsin,magnesium,Metal/cations,0.48952041822499437,0.43378473483627433,89,21,0.23595505617977527,False,8
trypsin,iodide,Anions,0.35021804056909556,0.35021804056909556,1,0,0.0,True,9
trypsin,acetate,Anions,0.3476827873029095,0.3483154620590938,50,6,0.12,False,10
trypsin,2-propanol,Small neutral additives,0.3281080527986178,0.3585506018567924,5,0,0.0,True,11
trypsin,tartrate,Anions,0.28692703749454995,0.28692703749454995,2,0,0.0,True,12
trypsin,citrate,Anions,0.2776204882129802,0.2623407409853691,46,4,0.08695652173913043,False,13
trypsin,sodium,Metal/cations,0.2756366848281182,0.263362364737559,126,12,0.09523809523809523,False,14
trypsin,chloride,Anions,0.26054271200347406,0.20790305102690576,48,4,0.08333333333333333,False,15
trypsin,malate,Anions,0.1834880018178111,0.1834880018178111,1,0,0.0,True,16
trypsin,potassium,Metal/cations,0.13098615276769116,0.0753320196703018,33,1,0.030303030303030304,False,17
trypsin,lithium,Metal/cations,0.07494135230073387,0.04796241324659063,82,1,0.012195121951219513,False,18
trypsin,phosphate,Anions,0.06709048011870608,0.05346751457507644,40,0,0.0,False,19
trypsin,ammonium,Metal/cations,0.048352793345258355,0.0357551957211854,304,2,0.006578947368421052,False,20
trypsin,dtt,Organic ligands,0.03230424214720473,0.03230424214720473,2,0,0.0,True,21
trypsin,mes,Organic ligands,0.021734906798707123,0.012756990628502704,39,0,0.0,False,22
trypsin,bis-tris,Organic ligands,0.018829653067286397,0.0183434751855772,23,0,0.0,False,23
trypsin,cacodylate,Organic ligands,0.014089054890407883,0.013031144240084462,24,0,0.0,False,24
trypsin,peg,PEG/polymer,0.011547315442664423,0.008116486397524486,299,0,0.0,False,25
trypsin,imidazole,Organic ligands,0.011340780922782949,0.010747562800374453,50,0,0.0,False,26
trypsin,hepes,Organic ligands,0.008789255636605382,0.007455811659297689,153,0,0.0,False,27
trypsin,tris,Organic ligands,0.007308229626021034,0.005639234422835995,196,0,0.0,False,28
